Date,Fund,Index
12/2/2018,100,100
12/9/2018,94.29748284,85.97711671
12/16/2018,77.49199085,70.65446225
12/23/2018,81.81006865,74.59153318
12/30/2018,83.32723112,75.97482837
1/6/2019,88.92906178,81.08237986
1/13/2019,96.28146453,87.78604119
1/20/2019,103.1670481,94.06407326
1/27/2019,98.96567506,90.23340961
2/3/2019,103.9839817,94.80892449
2/10/2019,95.81464531,87.3604119
2/17/2019,101.8832952,92.89359267
2/24/2019,95.11441648,86.72196797
3/3/2019,101.2997712,92.36155606
3/10/2019,105.1510297,95.87299776
3/17/2019,108.7688787,99.17162471
3/24/2019,104.2173913,95.02173909
3/31/2019,106.3180778,96.93707093
4/7/2019,105.0343249,95.76659041
4/14/2019,101.5331808,92.57437071
4/21/2019,112.6201373,102.6830663
4/28/2019,102.7002288,93.63844398
5/5/2019,90.56292906,82.57208238
5/12/2019,87.0617849,79.3798627
5/19/2019,86.47826087,78.84782609
5/26/2019,78.77574371,71.82494279
6/2/2019,72.35697941,65.97254004
6/9/2019,71.07322654,64.8020595
6/16/2019,66.28832952,60.43935927
6/23/2019,72.82379863,66.39816934
6/30/2019,73.75743707,67.24942791
7/7/2019,71.89016018,65.54691076
7/14/2019,75.39130435,68.73913044
7/21/2019,67.68878719,61.71624714
7/28/2019,65.23798627,59.48169337
8/4/2019,66.98855835,61.07780321
8/11/2019,53.45080092,48.73455378
8/18/2019,45.04805492,41.07322655
8/25/2019,52.98398169,48.30892448
9/1/2019,53.45080092,48.73455378
9/8/2019,58.81922197,53.62929062
9/15/2019,66.87185355,60.97139588
9/22/2019,67.9221968,61.92906179
9/29/2019,52.86727689,48.20251717
10/6/2019,49.48283753,45.1167048
10/13/2019,53.33409611,48.62814645
10/20/2019,52.98398169,48.30892448
10/27/2019,54.85125858,50.01144165
11/3/2019,59.98627002,54.69336384
11/10/2019,62.90389016,57.35354691
11/17/2019,56.71853547,51.71395881
11/24/2019,55.3180778,50.43707094
12/1/2019,57.4187643,52.35240275
12/8/2019,66.63844394,60.75858124
12/15/2019,70.37299771,64.16361556
12/22/2019,76.32494279,69.59038902
12/29/2019,77.02517162,70.22883295
1/5/2020,79.35926773,72.3569794
1/12/2020,80.40961098,73.31464531
1/19/2020,73.29061785,66.82379863
1/26/2020,65.00457666,59.26887872
2/2/2020,55.201373,50.33066362
2/9/2020,60.68649886,55.33180778
2/16/2020,54.50114416,49.69221968
2/23/2020,50.18306636,45.75514874
3/1/2020,35.12814645,32.02860412
3/8/2020,35.01144165,31.92219679
3/15/2020,15.63844394,14.25858124
3/22/2020,13.18764302,12.02402746
3/29/2020,15.63844394,14.25858124
4/5/2020,12.8375286,11.70480549
4/12/2020,14.9382151,13.6201373
4/19/2020,15.40503432,14.04576659
4/26/2020,11.08695652,10.10869565
5/3/2020,10.97025172,10.00228833
5/10/2020,14.00457666,12.76887872
5/17/2020,19.72311213,17.98283753
5/24/2020,17.27231121,15.74828375
5/31/2020,16.45537757,15.00343249
6/7/2020,16.22196796,14.79061785
6/14/2020,43.76430206,39.902746
6/21/2020,26.25858124,23.94164759
6/28/2020,24.50800915,22.34553775
7/5/2020,20.77345538,18.94050343
7/12/2020,23.10755149,21.06864988
7/19/2020,22.64073227,20.6430206
7/26/2020,24.27459954,22.13272311
8/2/2020,23.80778032,21.70709382
8/9/2020,26.02517162,23.72883295
8/16/2020,27.19221968,24.79290618
8/23/2020,22.29061785,20.32379863
8/30/2020,15.05491991,13.72654462
9/6/2020,14.58810069,13.30091534
9/13/2020,12.25400458,11.17276888
9/20/2020,12.60411899,11.49199085
9/27/2020,10.38672769,9.470251715
10/4/2020,9.453089245,8.618993135
10/11/2020,9.453089245,8.618993135
10/18/2020,9.686498856,8.831807781
10/25/2020,9.56979405,8.725400458
11/1/2020,8.519450801,7.767734554
11/8/2020,11.32036613,10.3215103
11/15/2020,12.37070938,11.2791762
11/22/2020,14.35469108,13.08810068
11/29/2020,25.32494279,23.09038902
12/6/2020,23.69107551,21.6006865
12/13/2020,29.64302059,27.02745996
12/20/2020,29.99313501,27.34668192
12/27/2020,26.25858124,23.94164759
1/3/2021,25.20823799,22.98398169
1/10/2021,30.92677346,28.1979405
1/17/2021,38.1624714,34.79519451
1/24/2021,34.77803204,31.70938215
1/31/2021,43.53089245,39.68993135
2/7/2021,38.86270023,35.43363845
2/14/2021,42.597254,38.83867277
2/21/2021,39.91304348,36.39130435
2/28/2021,41.19679634,37.5617849
3/7/2021,47.84897025,43.62700229
3/14/2021,53.1006865,48.41533181
3/21/2021,44.34782609,40.43478261
3/28/2021,39.44622426,35.96567506
4/4/2021,41.43020595,37.77459954
4/11/2021,40.02974828,36.49771167
4/18/2021,41.54691076,37.88100687
4/25/2021,38.1624714,34.79519451
5/2/2021,39.79633867,36.28489703
5/9/2021,41.43020595,37.77459954
5/16/2021,45.39816934,41.39244851
5/23/2021,47.03203661,42.88215103
5/30/2021,44.93135011,40.96681922
6/6/2021,47.26544622,43.09496568
6/13/2021,51.70022883,47.13844394
